id;start_date;end_date;created_date;modified_date;note;status;modifier_token
1;2025-05-28T08:32:25;2025-05-28T04:49:01;2025-05-27T17:04:01;2025-05-27T23:42:41;arrafelé;CONFIRMED;1deb5c8e-6adc-4abe-aed4-85ea2272832f
2;2025-05-28T09:15:14;2025-05-27T14:01:47;2025-05-28T08:35:59;2025-05-28T06:36:30;adaptív ötletgazdag;PENDING;d282c82b-fb5a-452e-9d45-16f9becf6303
3;2025-05-27T20:59:03;2025-05-28T01:54:29;2025-05-27T22:19:27;2025-05-27T11:46:37;aha lóbetegség;PENDING;326e74aa-f87b-4d2f-a39a-c52fe16cf48d
4;2025-05-27T17:12:53;2025-05-28T07:23:10;2025-05-27T12:08:19;2025-05-27T19:47:18;ajjaj hehe;PENDING;0084b258-dbfc-409e-beca-f40eddef20ac
5;2025-05-27T17:08:15;2025-05-28T01:37:12;2025-05-28T04:27:05;2025-05-27T12:06:48;amettől over;CONFIRMED;9d850bf1-f284-4e27-921c-043667c6393e
6;2025-05-27T19:08:57;2025-05-27T15:33:49;2025-05-28T06:48:32;2025-05-27T13:43:05;letargikusan les;CANCELLED;056a6410-9ecc-4449-b11d-c82c97ffebea
7;2025-05-28T09:12:36;2025-05-27T15:00:58;2025-05-27T16:02:32;2025-05-28T08:23:50;hahaha csapzott hahaha;CONFIRMED;5e5f4aac-2edd-41bc-82f2-5efdde13d602
8;2025-05-28T07:23:19;2025-05-27T14:12:17;2025-05-28T02:12:58;2025-05-27T16:20:31;considering ohohó néma;CANCELLED;6c49e2f2-cdb0-4595-8b6d-34c19c627d9e
9;2025-05-28T06:18:37;2025-05-27T19:22:01;2025-05-28T03:45:35;2025-05-28T07:15:46;kavirnyál;CANCELLED;5def9671-8dbb-4c67-8759-22feee7d6c6f
10;2025-05-27T20:58:03;2025-05-28T08:29:33;2025-05-27T17:37:29;2025-05-28T00:57:51;ohohó százszor bárcsak;CANCELLED;93737d2e-e149-45b1-87dd-f666a9c7dac7
