id;day_of_week;start_time;end_time
1;23057;2025-05-28T02:56:15;2025-05-28T03:54:08
2;15292;2025-05-28T01:42:57;2025-05-27T13:29:39
3;12163;2025-05-27T11:56:21;2025-05-27T13:39:24
4;23786;2025-05-28T09:14:23;2025-05-27T15:13:50
5;7120;2025-05-28T04:31:41;2025-05-27T23:36:42
6;23306;2025-05-27T11:11:23;2025-05-27T23:59:44
7;10989;2025-05-27T13:07:48;2025-05-28T07:20:19
8;21900;2025-05-28T07:36:22;2025-05-28T01:40:07
9;29065;2025-05-27T16:32:57;2025-05-28T06:08:54
10;6338;2025-05-28T08:46:15;2025-05-27T22:05:47
