id;work_date;start_time;end_time
1;2025-05-27;2025-05-28T06:39:07;2025-05-28T00:24:22
2;2025-05-28;2025-05-28T00:25:29;2025-05-27T18:29:56
3;2025-05-27;2025-05-28T04:19:13;2025-05-27T15:19:47
4;2025-05-28;2025-05-28T01:07:23;2025-05-27T14:18:34
5;2025-05-27;2025-05-27T17:41:19;2025-05-28T07:17:18
6;2025-05-27;2025-05-27T21:51:59;2025-05-27T15:06:13
7;2025-05-27;2025-05-28T03:28:56;2025-05-28T05:44:46
8;2025-05-27;2025-05-27T22:54:10;2025-05-28T00:49:53
9;2025-05-28;2025-05-27T15:45:43;2025-05-28T09:36:36
10;2025-05-27;2025-05-27T13:35:13;2025-05-28T05:01:05
