id;duration_minutes;price;description;title;status;business_employee_id
1;14180;27328.44;ötvenéves égetően hiteget;odavezet;active;1
2;1208;210.59;pssz megszerez;sebtében sportos;inactive;1
3;13172;12340.94;azóta next;izzólámpa;inactive;2
4;7897;26946.76;kockázatmentes;összevegyül begörcsöl qua;inactive;2
5;7782;2010.85;így amidst sárgalemezű békagomba;borsos;inactive;2
6;22032;18356.72;ah állj;considering;active;2
7;19396;2609.72;ízes kifárad;the mihelyt;active;2
8;558;19608.81;lábhoz;horgonyzó apróbirtok;active;1
9;26230;5046.52;apropos azazhogy szélmalomgráf;vasmag mindenképpen hehe;deleted;1
10;10373;19205.78;fejnehéz fővilágosító vonatkozólag;fagyasztóberendezés hehe;deleted;1
