id;day_of_week;start_time;end_time
1;31142;2025-05-27T11:26:57;2025-05-27T12:49:35
2;1014;2025-05-27T13:18:12;2025-05-28T07:06:15
3;1908;2025-05-27T19:34:43;2025-05-28T10:31:22
4;14155;2025-05-27T13:41:23;2025-05-28T06:29:23
5;6164;2025-05-28T07:38:53;2025-05-28T06:31:47
6;31079;2025-05-27T17:51:03;2025-05-28T03:28:28
7;15980;2025-05-28T00:01:02;2025-05-28T10:20:19
8;10820;2025-05-28T10:50:20;2025-05-27T20:31:36
9;8329;2025-05-27T19:20:56;2025-05-27T18:54:45
10;21895;2025-05-27T14:07:58;2025-05-27T23:31:51
